App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Subscription Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	State	Country	Active Subscriptions	Active Free Trials	Marketing Opt-Ins
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	NY	USA	6	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	VA	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	420	INR	294	INR				iPhone	Maharashtra	IND	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	AE	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	8.69	NZD	6.08	NZD				iPhone		NZL	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPad	NY	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	MI	USA	4	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	NJ	USA	9	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	CA	USA	9	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	NC	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	9.99	AUD	6.99	AUD				iPhone	QLD	AUS	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	CO	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	9.99	CAD	6.99	CAD				iPhone	QC	CAN	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	4.16	GBP	2.91	GBP				iPhone		GBR	6	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	IN	USA	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	TX	USA	2	0	0
